"station_number","date","SO2","H2S","FN","NO","CO","pm10","pm25","NO2","C7H8","C8H10","C6H6"
"NL49553",2019-12-30 00:00:00,88.7,4.7,2.76,63.9,1205.3,53.2,37.7,60.3,NA,NA,NA
"NL49553",2019-12-29 23:00:00,103.9,6.3,3.4,106.7,3376.8,84.1,47.9,65.7,NA,NA,NA
"NL49553",2019-12-29 22:00:00,NA,NA,3.25,71.6,2663.3,76.7,41.1,58.3,NA,NA,NA
"NL49553",2019-12-29 21:00:00,36,2.3,3.44,21.7,2583.4,55.4,39.3,53.6,NA,NA,NA
"NL49553",2019-12-29 20:00:00,41.6,3.2,3.65,25.5,1703.5,55.4,37.5,55.4,NA,NA,NA
"NL49553",2019-12-29 19:00:00,23.2,1.4,3.16,15.3,1454.9,47.8,29.1,55.9,NA,NA,NA
"NL49553",2019-12-29 18:00:00,21.2,1.5,3.04,17.6,907.1,50.4,35.2,55.6,NA,NA,NA
"NL49553",2019-12-29 17:00:00,17.9,1.8,2.8,13.8,761.6,38.5,29.6,53,NA,NA,NA
"NL49553",2019-12-29 16:00:00,17.2,1.8,2.73,13.6,722.2,42.7,28.7,49.7,NA,NA,NA
"NL49553",2019-12-29 15:00:00,33.8,1.6,4,37.2,1208.7,66.3,34.1,47.6,NA,NA,NA
"NL49553",2019-12-29 14:00:00,35.5,3.5,2.98,32.2,1211.9,53.5,32,43.7,NA,NA,NA
"NL49553",2019-12-29 13:00:00,15.1,0.7,1.86,21.4,449.8,26.2,21.7,40.2,NA,NA,NA
"NL49553",2019-12-29 12:00:00,13.3,1.8,2.02,22.7,432,32.3,20.8,39.4,NA,NA,NA
"NL49553",2019-12-29 11:00:00,14.3,0.7,2.1,21.9,570.3,31.9,25.3,38.1,NA,NA,NA
"NL49553",2019-12-29 10:00:00,13,1.3,2.2,22.8,532.4,33.7,26.4,38.2,NA,NA,NA
"NL49553",2019-12-29 09:00:00,17.1,1.7,2.76,22.2,745.4,45.3,29.3,42.5,NA,NA,NA
"NL49553",2019-12-29 08:00:00,14.4,0.9,2.7,26,735.9,42.3,26.7,42.9,NA,NA,NA
"NL49553",2019-12-29 07:00:00,13.5,1.6,2.61,22.8,581.3,37.3,26,42.4,NA,NA,NA
"NL49553",2019-12-29 06:00:00,12.4,1.9,2.73,21,482.2,34.1,25.7,40.3,NA,NA,NA
"NL49553",2019-12-29 05:00:00,13.7,1.6,2.67,16.5,608.9,33,25.2,41,NA,NA,NA
"NL49553",2019-12-29 04:00:00,13.7,2.8,2.93,18.6,507.4,40.2,33.7,39.9,NA,NA,NA
"NL49553",2019-12-29 03:00:00,13.7,1.2,2.36,23.9,522.7,32.4,25.8,41.3,NA,NA,NA
"NL49553",2019-12-29 02:00:00,10.9,1.1,2.17,8.6,416.9,31.7,28.9,38.8,NA,NA,NA
"NL49553",2019-12-29 01:00:00,9.7,1.2,2.68,10.9,480.7,37.1,27.2,39.4,NA,NA,NA
"NL49553",2019-12-29 00:00:00,7.8,1.9,2.68,20.4,474.7,34.1,32.4,40.9,NA,NA,NA
"NL49553",2019-12-28 23:00:00,7.5,2.3,2.87,38.1,752.1,36,29.8,42.5,NA,NA,NA
"NL49553",2019-12-28 22:00:00,6.5,1.3,2.93,31.7,663.4,35.8,26.7,43.5,NA,NA,NA
"NL49553",2019-12-28 21:00:00,7.1,2.1,3.77,33.9,572.9,43.1,32.8,45.2,NA,NA,NA
"NL49553",2019-12-28 20:00:00,9.2,2.4,3.75,48.1,680.9,41.4,32.6,45.6,NA,NA,NA
"NL49553",2019-12-28 19:00:00,7.4,2.1,3.29,48.7,675.7,39,30.7,46.4,NA,NA,NA
"NL49553",2019-12-28 18:00:00,7.4,2.6,3.3,34.9,557.6,36.5,27.6,46.5,NA,NA,NA
"NL49553",2019-12-28 17:00:00,5.4,2.2,2.95,46.9,632.2,37.8,27.2,47.8,NA,NA,NA
"NL49553",2019-12-28 16:00:00,4,1.4,2.3,34.1,488.1,34.4,26.7,48.7,NA,NA,NA
"NL49553",2019-12-28 15:00:00,7.2,1.8,2.4,44.5,606.5,39.1,30.2,51.6,NA,NA,NA
"NL49553",2019-12-28 14:00:00,7.1,1.3,2.17,41.3,591.4,32.4,29.3,42.6,NA,NA,NA
"NL49553",2019-12-28 13:00:00,5.6,1.3,2.27,40,578.7,34.7,30.1,40.7,NA,NA,NA
"NL49553",2019-12-28 12:00:00,7.6,2.3,2.75,48.3,615,38.8,29.5,44,NA,NA,NA
"NL49553",2019-12-28 11:00:00,4.6,1.9,2.37,34,541,31.4,29.3,38.7,NA,NA,NA
"NL49553",2019-12-28 10:00:00,2.2,1.3,1.85,18.8,358.8,33.9,27.3,35.2,NA,NA,NA
"NL49553",2019-12-28 09:00:00,2.9,1,2.03,17.8,353.5,29.8,24,40.1,NA,NA,NA
"NL49553",2019-12-28 08:00:00,3.4,0.7,2.01,13.6,322.7,30.4,23.8,37.8,NA,NA,NA
"NL49553",2019-12-28 07:00:00,2.3,1.2,1.99,8.5,306.6,30.9,23.3,35,NA,NA,NA
"NL49553",2019-12-28 06:00:00,1.6,1.1,1.77,10,273.4,24.6,22.9,38,NA,NA,NA
"NL49553",2019-12-28 05:00:00,1.9,0.5,1.29,1.3,243.2,26.7,20.9,29.3,NA,NA,NA
"NL49553",2019-12-28 04:00:00,1.5,0.9,1.25,0.6,238.9,24.1,16.2,27.6,NA,NA,NA
"NL49553",2019-12-28 03:00:00,1.6,0.5,1.23,0.9,230.4,27.3,13.5,23.1,NA,NA,NA
"NL49553",2019-12-28 02:00:00,2,1.2,1.32,2.7,256.3,23.3,16.2,32.5,NA,NA,NA
"NL49553",2019-12-28 01:00:00,0.5,1.4,1.57,5.4,258.1,25.7,16.9,40.5,NA,NA,NA
"NL49553",2019-12-28 00:00:00,1.5,1.2,1.4,1.3,277,23.3,20.8,29.9,NA,NA,NA
"NL49553",2019-12-27 23:00:00,1.4,1,1.4,0.9,277.9,28,21.2,23.2,NA,NA,NA
"NL49553",2019-12-27 22:00:00,1.8,1.2,1.48,1.1,279.7,30.4,19.7,23.6,NA,NA,NA
"NL49553",2019-12-27 21:00:00,1.8,0.9,1.33,1.9,294.4,33.5,18.6,27.3,NA,NA,NA
"NL49553",2019-12-27 20:00:00,NA,NA,1.18,2.5,274,23.4,17.3,29.7,NA,NA,NA
"NL49553",2019-12-27 19:00:00,1.5,1.2,1.13,1.4,250.9,18.2,15.3,27.6,NA,NA,NA
"NL49553",2019-12-27 18:00:00,1.1,0.7,1.07,1.8,250.3,20.5,15.8,31.5,NA,NA,NA
"NL49553",2019-12-27 17:00:00,1,0.9,0.79,1.6,219.4,20,13.1,31.4,NA,NA,NA
"NL49553",2019-12-27 16:00:00,1,1.2,0.64,2.3,197.2,16.3,11.9,28.1,NA,NA,NA
"NL49553",2019-12-27 15:00:00,2,0.9,0.64,2.5,182,17.1,10.1,22.8,NA,NA,NA
"NL49553",2019-12-27 14:00:00,1.7,0.5,0.61,2.2,164.7,12.5,16.1,12.6,NA,NA,NA
"NL49553",2019-12-27 13:00:00,0.8,1.2,0.46,2,158.4,11.8,10.3,10.5,NA,NA,NA
"NL49553",2019-12-27 12:00:00,1.8,0.7,0.55,2.8,201.6,23.1,12.7,14.3,NA,NA,NA
"NL49553",2019-12-27 11:00:00,1.9,0.7,0.59,4.5,206.2,17.8,13.5,18.2,NA,NA,NA
"NL49553",2019-12-27 10:00:00,1.4,1,1.07,5,244.1,25.8,12.5,20.5,NA,NA,NA
"NL49553",2019-12-27 09:00:00,0.6,1,1.04,2.3,246.5,19.3,15.9,19.5,NA,NA,NA
"NL49553",2019-12-27 08:00:00,0.5,1.7,1.19,2.7,260.1,19.9,15.9,20.2,NA,NA,NA
"NL49553",2019-12-27 07:00:00,1.1,0.8,1.08,3.4,292,24.7,16.7,22.6,NA,NA,NA
"NL49553",2019-12-27 06:00:00,1.9,0.6,0.91,1.9,399.3,18.7,17,19.1,NA,NA,NA
"NL49553",2019-12-27 05:00:00,1.1,0.9,0.91,1.1,349.5,16.2,14.9,14,NA,NA,NA
"NL49553",2019-12-27 04:00:00,1.9,0.7,0.94,2.1,358.6,23.3,15,18.8,NA,NA,NA
"NL49553",2019-12-27 03:00:00,1.2,0.9,0.95,1.9,345.6,27.7,17.2,20.8,NA,NA,NA
"NL49553",2019-12-27 02:00:00,0.9,0.8,0.94,1.5,354.8,27.6,18.4,24.4,NA,NA,NA
"NL49553",2019-12-27 01:00:00,1.6,0.7,0.79,1.3,267.8,20.2,11.6,18.5,NA,NA,NA
"NL49553",2019-12-27 00:00:00,1.9,0.4,0.91,1.1,270.5,15.4,12.7,20.7,NA,NA,NA
"NL49553",2019-12-26 23:00:00,0.8,0.8,0.92,0.7,256.7,15.5,12.8,29.2,NA,NA,NA
"NL49553",2019-12-26 22:00:00,1,1,0.94,0.8,258.1,14.3,12.3,23.7,NA,NA,NA
"NL49553",2019-12-26 21:00:00,2.2,0.6,0.92,1,255.3,20.1,12.3,25.5,NA,NA,NA
"NL49553",2019-12-26 20:00:00,1.8,1,1.04,0.8,265.2,19.8,15.8,27.7,NA,NA,NA
"NL49553",2019-12-26 19:00:00,2.2,0.5,0.93,1,256.2,19.8,12,20.8,NA,NA,NA
"NL49553",2019-12-26 18:00:00,1.4,1.1,0.96,0.7,259.2,24.6,12.6,23.7,NA,NA,NA
"NL49553",2019-12-26 17:00:00,2.5,0.8,1.13,2.5,299.5,16.9,13,30.2,NA,NA,NA
"NL49553",2019-12-26 16:00:00,1.6,0.9,0.92,0.9,270.6,19.8,12.4,24,NA,NA,NA
"NL49553",2019-12-26 15:00:00,2.5,0.9,0.97,1.5,286.4,19.1,14.4,31.2,NA,NA,NA
"NL49553",2019-12-26 14:00:00,3.3,0.7,0.92,4.5,312.4,19.7,14.7,37,NA,NA,NA
"NL49553",2019-12-26 13:00:00,3.2,0.6,0.92,4,309.7,22.8,16.2,31.4,NA,NA,NA
"NL49553",2019-12-26 12:00:00,4.2,0.6,0.95,8,311.3,22.4,19.3,34.2,NA,NA,NA
"NL49553",2019-12-26 11:00:00,5.9,1.6,1.16,19.8,467.7,31.2,22.1,43.5,NA,NA,NA
"NL49553",2019-12-26 10:00:00,6.9,1.2,1.21,22,488.5,26.1,16.5,47.2,NA,NA,NA
"NL49553",2019-12-26 09:00:00,9.3,1.5,1.13,14.9,405.7,22.9,9,49.8,NA,NA,NA
