"kit_id","date","error","lat","lon","pm10_kal","pm10","pm25_kal","pm25","no2","rh","temp","pres"
"HLL_hl_device_001",2019-12-23 01:00:00,NA,52.473,4.663,12.33,13.74,2.697,3.14,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 02:00:00,NA,52.473,4.663,13.104,14.45,3.193,3.08,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 03:00:00,NA,52.473,4.663,NA,12.97,NA,3.89,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 04:00:00,NA,52.473,4.663,10.001,13.65,2.916,2.66,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 05:00:00,NA,52.473,4.663,10.412,13.74,4.061,3.07,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 06:00:00,NA,52.473,4.663,12.96,18.04,4.446,3.93,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 07:00:00,NA,52.473,4.663,13.588,17.19,4.343,4.35,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 08:00:00,NA,52.473,4.663,12.782,16.57,3.6,3.62,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 09:00:00,NA,52.473,4.663,13.072,17.2,4.248,3.58,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 10:00:00,NA,52.473,4.663,15.355,18.52,5.16,4.01,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 11:00:00,NA,52.473,4.663,16.704,19.23,4.1,4.09,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 12:00:00,NA,52.473,4.663,15.753,17.74,5.699,4.07,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 13:00:00,NA,52.473,4.663,14.212,18.72,5.085,4.45,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 14:00:00,NA,52.473,4.663,13.968,19.42,4.5,4.52,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 15:00:00,NA,52.473,4.663,16.929,20.88,5.175,4.49,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 16:00:00,NA,52.473,4.663,20.52,22.8,5.236,4.36,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 17:00:00,NA,52.473,4.663,17.6,19.96,4.788,4.17,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 18:00:00,NA,52.473,4.663,17.248,19.61,4.879,4.09,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 19:00:00,NA,52.473,4.663,16.56,18.45,5.96,4.01,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 20:00:00,NA,52.473,4.663,15.312,17.61,4.716,3.63,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 21:00:00,NA,52.473,4.663,16.095,18.52,4.75,3.76,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 22:00:00,NA,52.473,4.663,17.622,19.76,5.4,4.03,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-23 23:00:00,NA,52.473,4.663,16.05,21.35,5.676,4.26,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 00:00:00,NA,52.473,4.663,27.169,26.94,8.493,5.69,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 01:00:00,NA,52.473,4.663,27.057,31.09,7.006,6.17,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 02:00:00,NA,52.473,4.663,25.42,30.97,6.771,6.09,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 03:00:00,NA,52.473,4.663,25.631,36.09,8.64,7.25,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 04:00:00,NA,52.473,4.663,19.803,28.69,7.452,6.9,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 05:00:00,NA,52.473,4.663,22.94,37.05,10.656,14.39,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 06:00:00,NA,52.473,4.663,23.01,35.42,15.876,16.23,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 07:00:00,NA,52.473,4.663,16.958,27.84,9.191,10.12,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 08:00:00,NA,52.473,4.663,17.99,25.7,8.475,7.48,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 09:00:00,NA,52.473,4.663,13.275,22.5,6.039,6.1,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 10:00:00,NA,52.473,4.663,5.676,12.86,3.78,5.44,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 11:00:00,NA,52.473,4.663,3.744,7.77,1.755,3.85,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 12:00:00,NA,52.473,4.663,4,7.98,2.652,5.13,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 13:00:00,NA,52.473,4.663,9.381,15.91,3.977,4.12,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 14:00:00,NA,52.473,4.663,19.712,35.23,7.05,7.54,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 15:00:00,NA,52.473,4.663,26.4,43.99,10.34,9.45,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 16:00:00,NA,52.473,4.663,24.738,43.43,9.768,8.75,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 17:00:00,NA,52.473,4.663,19.096,34.08,8.96,7.02,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 18:00:00,NA,52.473,4.663,20.648,35.56,7.8,7.84,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 19:00:00,NA,52.473,4.663,17.936,30.35,8.33,6.97,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 20:00:00,NA,52.473,4.663,20.088,32.37,6.365,6.7,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 21:00:00,NA,52.473,4.663,22.68,37.79,7.372,7.61,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 22:00:00,NA,52.473,4.663,26.331,39.31,9.492,8.36,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-24 23:00:00,NA,52.473,4.663,24.003,38.13,10.406,8.59,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 00:00:00,NA,52.473,4.663,24.522,36.61,9.396,8.08,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 01:00:00,NA,52.473,4.663,13.2,26.44,6.72,5.95,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 02:00:00,NA,52.473,4.663,11.11,20.16,4.935,4.66,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 03:00:00,NA,52.473,4.663,11.62,16.55,4.48,4.04,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 04:00:00,NA,52.473,4.663,12.81,18.31,6.55,4.97,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 05:00:00,NA,52.473,4.663,10.54,16.97,4.758,3.87,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 06:00:00,NA,52.473,4.663,6.72,8.38,1.328,1.6,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 07:00:00,NA,52.473,4.663,5.85,9,1.36,1.68,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 08:00:00,NA,52.473,4.663,7.802,9.41,2.567,1.7,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 09:00:00,NA,52.473,4.663,8.769,11.06,3.024,2.1,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 10:00:00,NA,52.473,4.663,13.59,15.06,4.991,3.08,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 11:00:00,NA,52.473,4.663,10.58,11.49,2.967,2.34,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 12:00:00,NA,52.473,4.663,6.882,6.15,1.86,1.17,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 13:00:00,NA,52.473,4.663,8.625,7.47,2.184,1.28,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 14:00:00,NA,52.473,4.663,9.831,8.71,2.325,1.54,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 15:00:00,NA,52.473,4.663,9.844,9.23,2.376,1.78,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 16:00:00,NA,52.473,4.663,10.9,10.95,2.04,2.05,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 17:00:00,NA,52.473,4.663,11.336,10.93,2.373,2.14,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 18:00:00,NA,52.473,4.663,11.016,10.81,2.832,2.38,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 19:00:00,NA,52.473,4.663,8.827,9.14,2.14,2.04,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 20:00:00,NA,52.473,4.663,8.208,7.61,1.625,1.3,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 21:00:00,NA,52.473,4.663,6.768,7.16,1.819,1.72,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 22:00:00,NA,52.473,4.663,7.912,8.59,3.472,2.79,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-25 23:00:00,NA,52.473,4.663,5.978,6.1,1.596,1.36,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 00:00:00,NA,52.473,4.663,5.655,6.45,1.456,1.45,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 01:00:00,NA,52.473,4.663,7.119,6.28,2.04,1.74,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 02:00:00,NA,52.473,4.663,5.6,5.6,1.456,1.39,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 03:00:00,NA,52.473,4.663,4.8,5,1.16,0.99,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 04:00:00,NA,52.473,4.663,6.138,6.23,1.365,1.34,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 05:00:00,NA,52.473,4.663,7.14,8.54,1.562,2.24,NA,NA,NA,NA
"HLL_hl_device_001",2019-12-26 06:00:00,NA,52.473,4.663,8.475,11.26,2.925,3.9,NA,NA,NA,NA
