"station_number","wd","ws","temp","rh","date","station_code"
209,170,3,NA,NA,2020-02-07 01:00:00,"KNMI209"
209,140,3,NA,NA,2020-02-07 02:00:00,"KNMI209"
209,130,4,NA,NA,2020-02-07 03:00:00,"KNMI209"
209,130,4,NA,NA,2020-02-07 04:00:00,"KNMI209"
209,150,4,NA,NA,2020-02-07 05:00:00,"KNMI209"
209,150,5,NA,NA,2020-02-07 06:00:00,"KNMI209"
209,150,5,NA,NA,2020-02-07 07:00:00,"KNMI209"
209,160,6,NA,NA,2020-02-07 08:00:00,"KNMI209"
209,140,7,NA,NA,2020-02-07 09:00:00,"KNMI209"
209,140,8,NA,NA,2020-02-07 10:00:00,"KNMI209"
209,140,8,NA,NA,2020-02-07 11:00:00,"KNMI209"
209,150,7,NA,NA,2020-02-07 12:00:00,"KNMI209"
209,150,8,NA,NA,2020-02-07 13:00:00,"KNMI209"
209,140,8,NA,NA,2020-02-07 14:00:00,"KNMI209"
209,150,8,NA,NA,2020-02-07 15:00:00,"KNMI209"
209,150,8,NA,NA,2020-02-07 16:00:00,"KNMI209"
209,150,9,NA,NA,2020-02-07 17:00:00,"KNMI209"
209,150,9,NA,NA,2020-02-07 18:00:00,"KNMI209"
209,160,10,NA,NA,2020-02-07 19:00:00,"KNMI209"
209,160,9,NA,NA,2020-02-07 20:00:00,"KNMI209"
209,160,10,NA,NA,2020-02-07 21:00:00,"KNMI209"
209,170,10,NA,NA,2020-02-07 22:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-07 23:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-08 00:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-08 01:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-08 02:00:00,"KNMI209"
209,170,8,NA,NA,2020-02-08 03:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-08 04:00:00,"KNMI209"
209,180,9,NA,NA,2020-02-08 05:00:00,"KNMI209"
209,180,8,NA,NA,2020-02-08 06:00:00,"KNMI209"
209,180,8,NA,NA,2020-02-08 07:00:00,"KNMI209"
209,180,8,NA,NA,2020-02-08 08:00:00,"KNMI209"
209,190,8,NA,NA,2020-02-08 09:00:00,"KNMI209"
209,190,7,NA,NA,2020-02-08 10:00:00,"KNMI209"
209,200,8,NA,NA,2020-02-08 11:00:00,"KNMI209"
209,210,9,NA,NA,2020-02-08 12:00:00,"KNMI209"
209,230,9,NA,NA,2020-02-08 13:00:00,"KNMI209"
209,220,6,NA,NA,2020-02-08 14:00:00,"KNMI209"
209,220,7,NA,NA,2020-02-08 15:00:00,"KNMI209"
209,220,9,NA,NA,2020-02-08 16:00:00,"KNMI209"
209,210,8,NA,NA,2020-02-08 17:00:00,"KNMI209"
209,210,6,NA,NA,2020-02-08 18:00:00,"KNMI209"
209,210,8,NA,NA,2020-02-08 19:00:00,"KNMI209"
209,210,9,NA,NA,2020-02-08 20:00:00,"KNMI209"
209,200,10,NA,NA,2020-02-08 21:00:00,"KNMI209"
209,200,9,NA,NA,2020-02-08 22:00:00,"KNMI209"
209,200,9,NA,NA,2020-02-08 23:00:00,"KNMI209"
209,200,10,NA,NA,2020-02-09 00:00:00,"KNMI209"
209,210,12,NA,NA,2020-02-09 01:00:00,"KNMI209"
209,200,12,NA,NA,2020-02-09 02:00:00,"KNMI209"
209,200,15,NA,NA,2020-02-09 03:00:00,"KNMI209"
209,210,15,NA,NA,2020-02-09 04:00:00,"KNMI209"
209,200,15,NA,NA,2020-02-09 05:00:00,"KNMI209"
209,200,16,NA,NA,2020-02-09 06:00:00,"KNMI209"
209,210,17,NA,NA,2020-02-09 07:00:00,"KNMI209"
209,210,18,NA,NA,2020-02-09 08:00:00,"KNMI209"
209,200,20,NA,NA,2020-02-09 09:00:00,"KNMI209"
209,200,21,NA,NA,2020-02-09 10:00:00,"KNMI209"
209,210,22,NA,NA,2020-02-09 11:00:00,"KNMI209"
209,210,21,NA,NA,2020-02-09 12:00:00,"KNMI209"
209,210,22,NA,NA,2020-02-09 13:00:00,"KNMI209"
209,210,24,NA,NA,2020-02-09 14:00:00,"KNMI209"
209,210,22,NA,NA,2020-02-09 15:00:00,"KNMI209"
209,210,21,NA,NA,2020-02-09 16:00:00,"KNMI209"
209,210,23,NA,NA,2020-02-09 17:00:00,"KNMI209"
209,220,21,NA,NA,2020-02-09 18:00:00,"KNMI209"
209,240,19,NA,NA,2020-02-09 19:00:00,"KNMI209"
209,240,18,NA,NA,2020-02-09 20:00:00,"KNMI209"
209,230,18,NA,NA,2020-02-09 21:00:00,"KNMI209"
209,250,17,NA,NA,2020-02-09 22:00:00,"KNMI209"
209,250,16,NA,NA,2020-02-09 23:00:00,"KNMI209"
209,260,18,NA,NA,2020-02-10 00:00:00,"KNMI209"
209,250,17,NA,NA,2020-02-10 01:00:00,"KNMI209"
209,250,17,NA,NA,2020-02-10 02:00:00,"KNMI209"
209,260,16,NA,NA,2020-02-10 03:00:00,"KNMI209"
209,260,15,NA,NA,2020-02-10 04:00:00,"KNMI209"
209,270,17,NA,NA,2020-02-10 05:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-10 06:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-10 07:00:00,"KNMI209"
209,280,20,NA,NA,2020-02-10 08:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-10 09:00:00,"KNMI209"
209,270,18,NA,NA,2020-02-10 10:00:00,"KNMI209"
209,270,18,NA,NA,2020-02-10 11:00:00,"KNMI209"
209,270,17,NA,NA,2020-02-10 12:00:00,"KNMI209"
209,260,17,NA,NA,2020-02-10 13:00:00,"KNMI209"
209,260,16,NA,NA,2020-02-10 14:00:00,"KNMI209"
209,250,14,NA,NA,2020-02-10 15:00:00,"KNMI209"
209,230,15,NA,NA,2020-02-10 16:00:00,"KNMI209"
209,230,18,NA,NA,2020-02-10 17:00:00,"KNMI209"
209,260,18,NA,NA,2020-02-10 18:00:00,"KNMI209"
209,250,16,NA,NA,2020-02-10 19:00:00,"KNMI209"
209,300,11,NA,NA,2020-02-10 20:00:00,"KNMI209"
209,270,13,NA,NA,2020-02-10 21:00:00,"KNMI209"
209,280,16,NA,NA,2020-02-10 22:00:00,"KNMI209"
209,280,19,NA,NA,2020-02-10 23:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 00:00:00,"KNMI209"
209,280,19,NA,NA,2020-02-11 01:00:00,"KNMI209"
209,270,20,NA,NA,2020-02-11 02:00:00,"KNMI209"
209,270,19,NA,NA,2020-02-11 03:00:00,"KNMI209"
209,270,20,NA,NA,2020-02-11 04:00:00,"KNMI209"
209,270,20,NA,NA,2020-02-11 05:00:00,"KNMI209"
209,270,19,NA,NA,2020-02-11 06:00:00,"KNMI209"
209,270,19,NA,NA,2020-02-11 07:00:00,"KNMI209"
209,270,19,NA,NA,2020-02-11 08:00:00,"KNMI209"
209,270,19,NA,NA,2020-02-11 09:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 10:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 11:00:00,"KNMI209"
209,270,18,NA,NA,2020-02-11 12:00:00,"KNMI209"
209,270,18,NA,NA,2020-02-11 13:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-11 14:00:00,"KNMI209"
209,270,18,NA,NA,2020-02-11 15:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-11 16:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-11 17:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 18:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-11 19:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 20:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-11 21:00:00,"KNMI209"
209,280,19,NA,NA,2020-02-11 22:00:00,"KNMI209"
209,280,19,NA,NA,2020-02-11 23:00:00,"KNMI209"
209,280,19,NA,NA,2020-02-12 00:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-12 01:00:00,"KNMI209"
209,280,18,NA,NA,2020-02-12 02:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-12 03:00:00,"KNMI209"
209,270,17,NA,NA,2020-02-12 04:00:00,"KNMI209"
209,270,16,NA,NA,2020-02-12 05:00:00,"KNMI209"
209,280,17,NA,NA,2020-02-12 06:00:00,"KNMI209"
209,280,16,NA,NA,2020-02-12 07:00:00,"KNMI209"
209,280,15,NA,NA,2020-02-12 08:00:00,"KNMI209"
209,270,16,NA,NA,2020-02-12 09:00:00,"KNMI209"
209,280,15,NA,NA,2020-02-12 10:00:00,"KNMI209"
209,280,15,NA,NA,2020-02-12 11:00:00,"KNMI209"
209,280,14,NA,NA,2020-02-12 12:00:00,"KNMI209"
209,270,13,NA,NA,2020-02-12 13:00:00,"KNMI209"
209,280,12,NA,NA,2020-02-12 14:00:00,"KNMI209"
209,280,12,NA,NA,2020-02-12 15:00:00,"KNMI209"
209,270,11,NA,NA,2020-02-12 16:00:00,"KNMI209"
209,270,11,NA,NA,2020-02-12 17:00:00,"KNMI209"
209,270,10,NA,NA,2020-02-12 18:00:00,"KNMI209"
209,270,11,NA,NA,2020-02-12 19:00:00,"KNMI209"
209,260,8,NA,NA,2020-02-12 20:00:00,"KNMI209"
209,270,9,NA,NA,2020-02-12 21:00:00,"KNMI209"
209,260,6,NA,NA,2020-02-12 22:00:00,"KNMI209"
209,240,7,NA,NA,2020-02-12 23:00:00,"KNMI209"
209,200,8,NA,NA,2020-02-13 00:00:00,"KNMI209"
209,210,10,NA,NA,2020-02-13 01:00:00,"KNMI209"
209,180,6,NA,NA,2020-02-13 02:00:00,"KNMI209"
209,190,8,NA,NA,2020-02-13 03:00:00,"KNMI209"
209,180,9,NA,NA,2020-02-13 04:00:00,"KNMI209"
209,170,9,NA,NA,2020-02-13 05:00:00,"KNMI209"
209,170,10,NA,NA,2020-02-13 06:00:00,"KNMI209"
209,170,11,NA,NA,2020-02-13 07:00:00,"KNMI209"
209,170,12,NA,NA,2020-02-13 08:00:00,"KNMI209"
209,160,13,NA,NA,2020-02-13 09:00:00,"KNMI209"
209,170,13,NA,NA,2020-02-13 10:00:00,"KNMI209"
209,180,11,NA,NA,2020-02-13 11:00:00,"KNMI209"
209,220,11,NA,NA,2020-02-13 12:00:00,"KNMI209"
209,220,12,NA,NA,2020-02-13 13:00:00,"KNMI209"
209,210,9,NA,NA,2020-02-13 14:00:00,"KNMI209"
209,230,7,NA,NA,2020-02-13 15:00:00,"KNMI209"
209,220,10,NA,NA,2020-02-13 16:00:00,"KNMI209"
209,240,9,NA,NA,2020-02-13 17:00:00,"KNMI209"
209,240,7,NA,NA,2020-02-13 18:00:00,"KNMI209"
209,260,7,NA,NA,2020-02-13 19:00:00,"KNMI209"
209,310,6,NA,NA,2020-02-13 20:00:00,"KNMI209"
209,300,7,NA,NA,2020-02-13 21:00:00,"KNMI209"
209,310,6,NA,NA,2020-02-13 22:00:00,"KNMI209"
209,290,8,NA,NA,2020-02-13 23:00:00,"KNMI209"
209,280,6,NA,NA,2020-02-14 00:00:00,"KNMI209"
209,320,7,NA,NA,2020-02-14 01:00:00,"KNMI209"
209,320,10,NA,NA,2020-02-14 02:00:00,"KNMI209"
209,310,9,NA,NA,2020-02-14 03:00:00,"KNMI209"
209,330,11,NA,NA,2020-02-14 04:00:00,"KNMI209"
209,340,10,NA,NA,2020-02-14 05:00:00,"KNMI209"
209,340,7,NA,NA,2020-02-14 06:00:00,"KNMI209"
209,340,6,NA,NA,2020-02-14 07:00:00,"KNMI209"
209,350,4,NA,NA,2020-02-14 08:00:00,"KNMI209"
209,320,2,NA,NA,2020-02-14 09:00:00,"KNMI209"
209,260,3,NA,NA,2020-02-14 10:00:00,"KNMI209"
209,240,4,NA,NA,2020-02-14 11:00:00,"KNMI209"
209,220,4,NA,NA,2020-02-14 12:00:00,"KNMI209"
209,220,8,NA,NA,2020-02-14 13:00:00,"KNMI209"
