"station_number","date","NO2","pm25","pm10","NO","FN","CO","O3","C8H10","C7H8","C6H6","SO2","H2S"
"NL49701",2020-02-10 00:00:00,4.7,18.6,30.8,0.3,0.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 23:00:00,4.1,12,22.4,0.1,0.18,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 22:00:00,4,9.9,20.4,0.3,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 21:00:00,6,6.7,12.1,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 20:00:00,2.3,4.9,7.5,0.1,0.21,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 19:00:00,6,1.7,2.7,0.4,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 18:00:00,6.9,0.2,3.6,0.4,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 17:00:00,7.3,2.4,5.4,0.3,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 16:00:00,7.2,3.3,7.1,0.2,0.26,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 15:00:00,9.3,2,8.4,0.6,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 14:00:00,9.9,5.5,8.9,0.5,0.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 13:00:00,9.3,5.4,7.6,0.7,0.28,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 12:00:00,10.2,2.1,6,0.7,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 11:00:00,10.8,3.2,15.6,0.8,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 10:00:00,13.7,2.9,11.4,0.6,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 09:00:00,12.1,4,9.8,0.2,0.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 08:00:00,13.7,6.3,7.9,-0.1,0.34,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 07:00:00,13.7,8.1,9.1,0,0.39,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 06:00:00,15.7,8.5,11.2,0,0.45,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 05:00:00,15.8,7.1,12.5,0.1,0.57,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 04:00:00,13.8,7.1,10.3,-0.1,0.5,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 03:00:00,19.8,7.7,7.1,-0.2,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 02:00:00,16.9,15.9,20.6,0,0.7,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 01:00:00,18.1,10.8,23,0.2,0.73,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 00:00:00,27.4,11.6,19.6,0.1,0.99,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 23:00:00,32.9,10.9,21.5,0.6,0.93,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 22:00:00,28.2,10.7,20.7,0.2,1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 21:00:00,35.8,10.7,19.3,0.2,1.61,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 20:00:00,46.8,19.5,26,1.4,1.84,NA,NA,NA,NA,NA,NA,NA
