"kit_id","date","lat","lon","pm10_kal","pm10","pm25_kal","pm25","rh","temp"
"HLL_hl_device_001",2020-02-07 01:00:00,52.473,4.663,23.765,24.54,12.508,10.57,NA,NA
"HLL_hl_device_001",2020-02-07 02:00:00,52.473,4.663,22.446,25.83,11.655,11.08,NA,NA
"HLL_hl_device_001",2020-02-07 03:00:00,52.473,4.663,22.632,24.6,9.434,10.56,NA,NA
"HLL_hl_device_001",2020-02-07 04:00:00,52.473,4.663,20.8,26.03,9.912,11.77,NA,NA
"HLL_hl_device_001",2020-02-07 05:00:00,52.473,4.663,23.068,31.65,12.141,17.05,NA,NA
"HLL_hl_device_001",2020-02-07 06:00:00,52.473,4.663,22.382,36.15,15.407,21.66,NA,NA
"HLL_hl_device_001",2020-02-07 07:00:00,52.473,4.663,23.607,38.7,19.173,24.94,NA,NA
"HLL_hl_device_001",2020-02-07 08:00:00,52.473,4.663,28.365,46.45,26.642,34.62,NA,NA
"HLL_hl_device_001",2020-02-07 09:00:00,52.473,4.663,30.03,45.48,29.67,34.55,NA,NA
"HLL_hl_device_001",2020-02-07 10:00:00,52.473,4.663,30.498,39.11,28.714,29.28,NA,NA
"HLL_hl_device_001",2020-02-07 11:00:00,52.473,4.663,31.064,35.34,26.78,26.01,NA,NA
"HLL_hl_device_001",2020-02-07 12:00:00,52.473,4.663,31.577,34.7,28.08,26.03,NA,NA
"HLL_hl_device_001",2020-02-07 13:00:00,52.473,4.663,30.78,32.44,25.758,24.26,NA,NA
"HLL_hl_device_001",2020-02-07 14:00:00,52.473,4.663,27.244,27.82,22.04,19.01,NA,NA
"HLL_hl_device_001",2020-02-07 15:00:00,52.473,4.663,10.486,9.82,3.952,3.76,NA,NA
"HLL_hl_device_001",2020-02-07 16:00:00,52.473,4.663,12.208,11.25,4.788,4.24,NA,NA
"HLL_hl_device_001",2020-02-07 17:00:00,52.473,4.663,15.347,14.9,8.118,8.23,NA,NA
"HLL_hl_device_001",2020-02-07 18:00:00,52.473,4.663,25.44,23.98,16.83,16.51,NA,NA
"HLL_hl_device_001",2020-02-07 19:00:00,52.473,4.663,20.79,23.11,14.448,17.24,NA,NA
"HLL_hl_device_001",2020-02-07 20:00:00,52.473,4.663,23.622,25.4,18.522,18.89,NA,NA
"HLL_hl_device_001",2020-02-07 21:00:00,52.473,4.663,26.264,26.75,18.81,19,NA,NA
"HLL_hl_device_001",2020-02-07 22:00:00,52.473,4.663,NA,25.78,NA,18.11,NA,NA
"HLL_hl_device_001",2020-02-07 23:00:00,52.473,4.663,23.03,24.46,18.02,17.03,NA,NA
"HLL_hl_device_001",2020-02-08 00:00:00,52.473,4.663,22.848,22.45,21.14,15.06,NA,NA
"HLL_hl_device_001",2020-02-08 01:00:00,52.473,4.663,21.2,20,15.812,13.38,NA,NA
"HLL_hl_device_001",2020-02-08 02:00:00,52.473,4.663,21.922,19.42,17.42,13,NA,NA
"HLL_hl_device_001",2020-02-08 03:00:00,52.473,4.663,20.492,18.75,15.867,12.87,NA,NA
"HLL_hl_device_001",2020-02-08 04:00:00,52.473,4.663,21.301,17.91,15.86,12.23,NA,NA
"HLL_hl_device_001",2020-02-08 05:00:00,52.473,4.663,20.184,17.37,16.66,11.89,NA,NA
"HLL_hl_device_001",2020-02-08 06:00:00,52.473,4.663,20.868,18.78,15.252,12.35,NA,NA
"HLL_hl_device_001",2020-02-08 07:00:00,52.473,4.663,20.223,18.89,16.758,12.58,NA,NA
"HLL_hl_device_001",2020-02-08 08:00:00,52.473,4.663,21.614,20.17,16.375,13.06,NA,NA
"HLL_hl_device_001",2020-02-08 09:00:00,52.473,4.663,21.632,20.82,16.2,13.47,NA,NA
"HLL_hl_device_001",2020-02-08 10:00:00,52.473,4.663,21.63,20.57,15.982,12.23,NA,NA
"HLL_hl_device_001",2020-02-08 11:00:00,52.473,4.663,18.824,18.11,11.865,10.53,NA,NA
"HLL_hl_device_001",2020-02-08 12:00:00,52.473,4.663,20.02,18.22,10.506,10.21,NA,NA
"HLL_hl_device_001",2020-02-08 13:00:00,52.473,4.663,21.09,19.01,13.054,10.72,NA,NA
"HLL_hl_device_001",2020-02-08 14:00:00,52.473,4.663,16.443,20.31,13.8,13.81,NA,NA
"HLL_hl_device_001",2020-02-08 15:00:00,52.473,4.663,22.222,27.05,10.488,11.4,NA,NA
"HLL_hl_device_001",2020-02-08 16:00:00,52.473,4.663,18.507,19.88,6.49,5.88,NA,NA
"HLL_hl_device_001",2020-02-08 17:00:00,52.473,4.663,13.446,16.55,5.842,4.58,NA,NA
"HLL_hl_device_001",2020-02-08 18:00:00,52.473,4.663,16.8,21.03,5.782,5.86,NA,NA
"HLL_hl_device_001",2020-02-08 19:00:00,52.473,4.663,14.7,20.96,5.047,4.86,NA,NA
"HLL_hl_device_001",2020-02-08 20:00:00,52.473,4.663,18.821,31.94,11.792,17.64,NA,NA
"HLL_hl_device_001",2020-02-08 21:00:00,52.473,4.663,16.897,27.7,12.54,16.54,NA,NA
"HLL_hl_device_001",2020-02-08 22:00:00,52.473,4.663,NA,25.82,NA,11.34,NA,NA
"HLL_hl_device_001",2020-02-08 23:00:00,52.473,4.663,16.016,30.8,9.945,15.31,NA,NA
"HLL_hl_device_001",2020-02-09 00:00:00,52.473,4.663,16.728,32.75,10.292,16.64,NA,NA
"HLL_hl_device_001",2020-02-09 01:00:00,52.473,4.663,19.448,37.38,12.285,19.49,NA,NA
"HLL_hl_device_001",2020-02-09 02:00:00,52.473,4.663,19.43,33.51,11.977,20.32,NA,NA
"HLL_hl_device_001",2020-02-09 03:00:00,52.473,4.663,NA,21.36,NA,15.19,NA,NA
"HLL_hl_device_001",2020-02-09 04:00:00,52.473,4.663,10.512,14.55,9.711,11.74,NA,NA
"HLL_hl_device_001",2020-02-09 05:00:00,52.473,4.663,9.396,11.64,7.224,8.38,NA,NA
"HLL_hl_device_001",2020-02-09 06:00:00,52.473,4.663,8.236,11.56,6.264,7.23,NA,NA
